Date,Technology_Industry_Index
2025-04-01,131922.6746447404
2025-05-01,140181.4086156116
2025-06-01,147838.68888009476
2025-07-01,152347.32258040234
2025-08-01,154535.2243920255
2025-09-01,160706.49306030368
2025-10-01,161762.79955474712
2025-11-01,161800.94367368927
2025-12-01,165351.15589689882
2026-01-01,167289.9289622376
2026-02-01,167787.90610706946
2026-03-01,170332.16756642863
2026-04-01,170692.2344688295
2026-05-01,179037.03200233972
2026-06-01,186609.26637480417
2026-07-01,191160.4224895
2026-08-01,193338.5036252863
2026-09-01,199511.05666943974
2026-10-01,200604.19324975784
2026-11-01,200668.3688333327
2026-12-01,204167.7301807843
2027-01-01,206131.6736547697
2027-02-01,206597.00000831205
2027-03-01,209177.14430158425
2027-04-01,209463.81366081006
2027-05-01,217892.4384010321
2027-06-01,225378.402996977
2027-07-01,229973.10241088385
2027-08-01,232142.4509704125
2027-09-01,238315.26395687842
2027-10-01,239446.24329445473
2027-11-01,239536.34640525057
2027-12-01,242983.46912097005
2028-01-01,244972.749598403
2028-02-01,245406.37255058886
2028-03-01,248027.11960939466
2028-04-01,248541.32646189272
2028-05-01,256711.86661869072
